{0: 1, 1: 2, 2: 3, 3: 3, 4: 0, 5: 3, 6: 1, 7: 2}
{0: 2, 1: 3, 2: 4, 3: 3, 4: 1, 5: 4, 6: 1, 7: 2}
{0: 2, 1: 4, 2: 5, 3: 3, 4: 2, 5: 4, 6: 1, 7: 3}
{0: 3, 1: 5, 2: 6, 3: 4, 4: 2, 5: 4, 6: 2, 7: 3}
{0: 4, 1: 6, 2: 6, 3: 4, 4: 3, 5: 5, 6: 2, 7: 4}
{0: 4, 1: 7, 2: 6, 3: 4, 4: 4, 5: 6, 6: 2, 7: 5}
{0: 5, 1: 8, 2: 6, 3: 4, 4: 5, 5: 7, 6: 2, 7: 6}
{0: 6, 1: 8, 2: 6, 3: 4, 4: 5, 5: 8, 6: 3, 7: 7}
{0: 7, 1: 9, 2: 6, 3: 5, 4: 5, 5: 9, 6: 4, 7: 7}
{0: 7, 1: 10, 2: 6, 3: 6, 4: 5, 5: 10, 6: 4, 7: 8}
{0: 8, 1: 10, 2: 6, 3: 7, 4: 5, 5: 11, 6: 5, 7: 8}
{0: 8, 1: 10, 2: 6, 3: 7, 4: 6, 5: 12, 6: 6, 7: 9}
{0: 9, 1: 10, 2: 6, 3: 7, 4: 6, 5: 13, 6: 7, 7: 10}
{0: 10, 1: 11, 2: 6, 3: 8, 4: 6, 5: 13, 6: 8, 7: 11}
{0: 10, 1: 12, 2: 7, 3: 9, 4: 6, 5: 13, 6: 8, 7: 12}
{0: 10, 1: 12, 2: 8, 3: 10, 4: 7, 5: 14, 6: 8, 7: 12}
{0: 11, 1: 13, 2: 8, 3: 11, 4: 8, 5: 14, 6: 8, 7: 13}
{0: 11, 1: 13, 2: 8, 3: 12, 4: 9, 5: 15, 6: 8, 7: 14}
{0: 12, 1: 13, 2: 8, 3: 12, 4: 10, 5: 16, 6: 9, 7: 15}
{0: 13, 1: 13, 2: 8, 3: 13, 4: 11, 5: 17, 6: 9, 7: 16}
{0: 13, 1: 14, 2: 8, 3: 14, 4: 11, 5: 18, 6: 10, 7: 17}
{0: 13, 1: 14, 2: 8, 3: 15, 4: 12, 5: 19, 6: 10, 7: 18}
{0: 14, 1: 15, 2: 8, 3: 15, 4: 13, 5: 20, 6: 10, 7: 18}
{0: 15, 1: 15, 2: 9, 3: 16, 4: 13, 5: 21, 6: 10, 7: 19}
{0: 16, 1: 15, 2: 9, 3: 16, 4: 13, 5: 21, 6: 11, 7: 20}
{0: 17, 1: 16, 2: 10, 3: 17, 4: 13, 5: 22, 6: 11, 7: 20}
{0: 18, 1: 17, 2: 10, 3: 18, 4: 13, 5: 23, 6: 11, 7: 20}
{0: 19, 1: 18, 2: 10, 3: 18, 4: 13, 5: 23, 6: 12, 7: 20}
