{0: 13, 1: 12, 2: 16, 3: 11, 4: 8, 5: 15, 6: 20, 7: 17}
{0: 14, 1: 13, 2: 16, 3: 11, 4: 8, 5: 16, 6: 21, 7: 17}
{0: 14, 1: 14, 2: 17, 3: 11, 4: 9, 5: 17, 6: 21, 7: 18}
{0: 14, 1: 14, 2: 18, 3: 12, 4: 9, 5: 18, 6: 22, 7: 19}
{0: 15, 1: 15, 2: 19, 3: 13, 4: 9, 5: 18, 6: 23, 7: 19}
{0: 16, 1: 16, 2: 20, 3: 14, 4: 9, 5: 18, 6: 23, 7: 20}
{0: 17, 1: 16, 2: 21, 3: 14, 4: 9, 5: 18, 6: 24, 7: 21}
{0: 18, 1: 17, 2: 22, 3: 14, 4: 9, 5: 19, 6: 25, 7: 21}

{0: 1, 1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1}
{0: 2, 1: 2, 2: 2, 3: 0, 4: 0, 5: 1, 6: 1, 7: 2}
{0: 3, 1: 2, 2: 3, 3: 0, 4: 0, 5: 2, 6: 2, 7: 3}
{0: 3, 1: 3, 2: 3, 3: 0, 4: 1, 5: 3, 6: 3, 7: 4}
{0: 4, 1: 4, 2: 3, 3: 1, 4: 1, 5: 3, 6: 4, 7: 5}
{0: 4, 1: 5, 2: 4, 3: 1, 4: 1, 5: 4, 6: 5, 7: 6}
{0: 4, 1: 5, 2: 5, 3: 1, 4: 2, 5: 5, 6: 6, 7: 7}
{0: 5, 1: 6, 2: 5, 3: 1, 4: 2, 5: 6, 6: 7, 7: 8}
{0: 5, 1: 7, 2: 5, 3: 2, 4: 2, 5: 7, 6: 8, 7: 9}
{0: 6, 1: 8, 2: 6, 3: 2, 4: 2, 5: 8, 6: 9, 7: 9}
{0: 7, 1: 9, 2: 7, 3: 2, 4: 2, 5: 8, 6: 10, 7: 10}
{0: 8, 1: 9, 2: 8, 3: 3, 4: 3, 5: 8, 6: 11, 7: 10}
{0: 9, 1: 10, 2: 9, 3: 4, 4: 3, 5: 8, 6: 11, 7: 11}
{0: 9, 1: 11, 2: 10, 3: 5, 4: 3, 5: 8, 6: 11, 7: 12}
{0: 10, 1: 12, 2: 11, 3: 5, 4: 3, 5: 9, 6: 12, 7: 12}
{0: 11, 1: 12, 2: 12, 3: 6, 4: 3, 5: 9, 6: 13, 7: 13}
{0: 11, 1: 13, 2: 13, 3: 6, 4: 4, 5: 10, 6: 14, 7: 13}
{0: 11, 1: 14, 2: 14, 3: 6, 4: 4, 5: 11, 6: 15, 7: 13}
{0: 11, 1: 15, 2: 15, 3: 7, 4: 5, 5: 11, 6: 16, 7: 13}
{0: 12, 1: 15, 2: 16, 3: 7, 4: 5, 5: 12, 6: 17, 7: 14}
{0: 13, 1: 16, 2: 17, 3: 7, 4: 5, 5: 12, 6: 18, 7: 15}
{0: 14, 1: 17, 2: 17, 3: 8, 4: 5, 5: 12, 6: 19, 7: 16}
{0: 15, 1: 17, 2: 18, 3: 8, 4: 6, 5: 13, 6: 19, 7: 17}
{0: 16, 1: 18, 2: 19, 3: 8, 4: 6, 5: 13, 6: 20, 7: 18}
{0: 16, 1: 19, 2: 20, 3: 9, 4: 6, 5: 14, 6: 21, 7: 18}
{0: 16, 1: 20, 2: 21, 3: 10, 4: 6, 5: 15, 6: 22, 7: 18}
{0: 16, 1: 21, 2: 22, 3: 10, 4: 7, 5: 15, 6: 23, 7: 19}
{0: 17, 1: 22, 2: 23, 3: 11, 4: 7, 5: 15, 6: 24, 7: 19}
{0: 17, 1: 22, 2: 24, 3: 12, 4: 7, 5: 16, 6: 25, 7: 20}
{0: 17, 1: 22, 2: 25, 3: 13, 4: 7, 5: 17, 6: 25, 7: 21}

{0: 1, 1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0}
{0: 2, 1: 2, 2: 1, 3: 1, 4: 0, 5: 0, 6: 2, 7: 1}
{0: 2, 1: 3, 2: 2, 3: 1, 4: 0, 5: 1, 6: 3, 7: 2}
{0: 3, 1: 4, 2: 3, 3: 1, 4: 0, 5: 1, 6: 4, 7: 3}
{0: 4, 1: 4, 2: 3, 3: 2, 4: 1, 5: 2, 6: 5, 7: 3}
{0: 4, 1: 4, 2: 4, 3: 2, 4: 2, 5: 3, 6: 6, 7: 4}
{0: 5, 1: 5, 2: 4, 3: 2, 4: 2, 5: 4, 6: 7, 7: 5}
{0: 6, 1: 5, 2: 4, 3: 2, 4: 3, 5: 5, 6: 8, 7: 6}
{0: 6, 1: 6, 2: 4, 3: 3, 4: 3, 5: 6, 6: 9, 7: 7}
{0: 6, 1: 7, 2: 5, 3: 3, 4: 4, 5: 6, 6: 10, 7: 8}
{0: 6, 1: 7, 2: 6, 3: 4, 4: 5, 5: 7, 6: 11, 7: 8}
{0: 6, 1: 8, 2: 7, 3: 4, 4: 6, 5: 7, 6: 12, 7: 9}
{0: 7, 1: 9, 2: 8, 3: 4, 4: 6, 5: 7, 6: 13, 7: 10}
{0: 8, 1: 10, 2: 9, 3: 5, 4: 6, 5: 8, 6: 13, 7: 10}
{0: 9, 1: 11, 2: 9, 3: 5, 4: 7, 5: 8, 6: 14, 7: 11}
{0: 9, 1: 11, 2: 10, 3: 5, 4: 8, 5: 9, 6: 14, 7: 12}
{0: 10, 1: 12, 2: 11, 3: 5, 4: 8, 5: 9, 6: 15, 7: 13}
{0: 10, 1: 13, 2: 12, 3: 5, 4: 9, 5: 10, 6: 16, 7: 13}
{0: 10, 1: 14, 2: 13, 3: 5, 4: 10, 5: 11, 6: 17, 7: 13}
{0: 11, 1: 14, 2: 13, 3: 6, 4: 11, 5: 12, 6: 18, 7: 13}
{0: 12, 1: 15, 2: 14, 3: 7, 4: 11, 5: 12, 6: 19, 7: 13}
{0: 13, 1: 16, 2: 14, 3: 7, 4: 11, 5: 13, 6: 20, 7: 13}
{0: 14, 1: 17, 2: 15, 3: 7, 4: 12, 5: 14, 6: 20, 7: 13}
{0: 14, 1: 17, 2: 16, 3: 8, 4: 12, 5: 15, 6: 21, 7: 14}
{0: 15, 1: 17, 2: 16, 3: 8, 4: 13, 5: 16, 6: 22, 7: 15}
{0: 16, 1: 17, 2: 16, 3: 9, 4: 14, 5: 17, 6: 23, 7: 15}
{0: 17, 1: 18, 2: 17, 3: 9, 4: 14, 5: 17, 6: 24, 7: 16}
{0: 18, 1: 19, 2: 18, 3: 9, 4: 14, 5: 18, 6: 25, 7: 16}
{0: 19, 1: 20, 2: 18, 3: 10, 4: 15, 5: 18, 6: 26, 7: 16}
{0: 20, 1: 21, 2: 18, 3: 10, 4: 15, 5: 19, 6: 27, 7: 16}

{0: 0, 1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 1, 5: 0, 6: 2, 7: 1}
{0: 2, 1: 1, 2: 3, 3: 1, 4: 2, 5: 1, 6: 3, 7: 1}
{0: 2, 1: 1, 2: 3, 3: 2, 4: 3, 5: 2, 6: 4, 7: 2}
{0: 2, 1: 2, 2: 4, 3: 3, 4: 3, 5: 3, 6: 5, 7: 2}
{0: 3, 1: 2, 2: 5, 3: 3, 4: 4, 5: 4, 6: 5, 7: 3}
{0: 4, 1: 2, 2: 6, 3: 4, 4: 4, 5: 5, 6: 6, 7: 3}
{0: 4, 1: 2, 2: 7, 3: 5, 4: 5, 5: 5, 6: 7, 7: 4}
{0: 5, 1: 3, 2: 7, 3: 6, 4: 5, 5: 5, 6: 8, 7: 5}
{0: 5, 1: 4, 2: 7, 3: 7, 4: 6, 5: 6, 6: 9, 7: 5}
{0: 5, 1: 5, 2: 7, 3: 7, 4: 7, 5: 7, 6: 10, 7: 6}
{0: 5, 1: 6, 2: 8, 3: 8, 4: 7, 5: 7, 6: 11, 7: 7}
{0: 5, 1: 7, 2: 9, 3: 9, 4: 7, 5: 8, 6: 12, 7: 7}
{0: 6, 1: 8, 2: 10, 3: 9, 4: 8, 5: 8, 6: 13, 7: 7}
{0: 7, 1: 8, 2: 11, 3: 10, 4: 8, 5: 9, 6: 14, 7: 7}
{0: 7, 1: 8, 2: 12, 3: 11, 4: 9, 5: 9, 6: 15, 7: 7}
