{0: 8, 1: 5, 2: 7, 3: 6, 4: 6, 5: 3, 6: 5, 7: 5}
{0: 9, 1: 5, 2: 8, 3: 6, 4: 7, 5: 4, 6: 5, 7: 6}
{0: 10, 1: 6, 2: 9, 3: 7, 4: 7, 5: 4, 6: 6, 7: 6}
{0: 10, 1: 7, 2: 10, 3: 8, 4: 8, 5: 4, 6: 6, 7: 7}
{0: 10, 1: 8, 2: 11, 3: 9, 4: 9, 5: 4, 6: 7, 7: 7}
{0: 11, 1: 9, 2: 11, 3: 9, 4: 10, 5: 5, 6: 8, 7: 7}
{0: 12, 1: 9, 2: 12, 3: 9, 4: 11, 5: 5, 6: 9, 7: 8}
{0: 13, 1: 9, 2: 13, 3: 10, 4: 12, 5: 5, 6: 10, 7: 8}
{0: 13, 1: 9, 2: 14, 3: 11, 4: 13, 5: 6, 6: 11, 7: 8}
{0: 14, 1: 10, 2: 14, 3: 11, 4: 14, 5: 7, 6: 11, 7: 9}
{0: 15, 1: 10, 2: 14, 3: 12, 4: 15, 5: 8, 6: 11, 7: 10}
{0: 16, 1: 11, 2: 15, 3: 12, 4: 16, 5: 8, 6: 12, 7: 10}
{0: 17, 1: 12, 2: 16, 3: 12, 4: 16, 5: 9, 6: 12, 7: 11}
{0: 18, 1: 12, 2: 17, 3: 12, 4: 16, 5: 10, 6: 13, 7: 12}
{0: 19, 1: 13, 2: 17, 3: 13, 4: 16, 5: 11, 6: 14, 7: 12}
{0: 20, 1: 14, 2: 18, 3: 14, 4: 17, 5: 11, 6: 14, 7: 12}
{0: 21, 1: 15, 2: 19, 3: 14, 4: 18, 5: 11, 6: 15, 7: 12}
{0: 21, 1: 16, 2: 19, 3: 15, 4: 19, 5: 12, 6: 16, 7: 12}
{0: 21, 1: 17, 2: 20, 3: 15, 4: 20, 5: 12, 6: 17, 7: 13}
{0: 21, 1: 18, 2: 21, 3: 16, 4: 20, 5: 13, 6: 18, 7: 13}
{0: 22, 1: 19, 2: 22, 3: 17, 4: 21, 5: 13, 6: 18, 7: 13}
{0: 22, 1: 20, 2: 23, 3: 18, 4: 22, 5: 14, 6: 18, 7: 13}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0}
{0: 2, 1: 1, 2: 2, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0}
{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 3, 6: 1, 7: 1}
{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 1, 7: 1}
{0: 4, 1: 3, 2: 4, 3: 4, 4: 4, 5: 3, 6: 1, 7: 2}
{0: 4, 1: 4, 2: 5, 3: 5, 4: 5, 5: 3, 6: 2, 7: 2}
{0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 4, 6: 3, 7: 3}
{0: 5, 1: 6, 2: 6, 3: 6, 4: 6, 5: 4, 6: 3, 7: 4}
{0: 6, 1: 7, 2: 6, 3: 7, 4: 7, 5: 4, 6: 4, 7: 4}
{0: 7, 1: 8, 2: 6, 3: 7, 4: 8, 5: 5, 6: 4, 7: 5}
{0: 8, 1: 9, 2: 7, 3: 8, 4: 9, 5: 5, 6: 4, 7: 5}
{0: 9, 1: 10, 2: 8, 3: 8, 4: 9, 5: 6, 6: 4, 7: 6}
{0: 9, 1: 11, 2: 9, 3: 9, 4: 10, 5: 6, 6: 5, 7: 6}
{0: 10, 1: 12, 2: 10, 3: 10, 4: 10, 5: 7, 6: 5, 7: 6}
{0: 11, 1: 13, 2: 10, 3: 11, 4: 11, 5: 7, 6: 5, 7: 7}
{0: 12, 1: 14, 2: 11, 3: 12, 4: 11, 5: 7, 6: 6, 7: 7}
{0: 13, 1: 14, 2: 12, 3: 13, 4: 11, 5: 8, 6: 6, 7: 8}
{0: 13, 1: 15, 2: 13, 3: 14, 4: 12, 5: 8, 6: 6, 7: 9}
{0: 14, 1: 16, 2: 13, 3: 14, 4: 13, 5: 9, 6: 6, 7: 10}
{0: 15, 1: 17, 2: 13, 3: 14, 4: 14, 5: 10, 6: 6, 7: 11}
{0: 15, 1: 18, 2: 13, 3: 15, 4: 15, 5: 11, 6: 6, 7: 12}
{0: 15, 1: 19, 2: 13, 3: 16, 4: 16, 5: 12, 6: 6, 7: 13}
