{0: 7, 1: 7, 2: 6, 3: 5, 4: 6, 5: 7, 6: 14, 7: 8}
{0: 8, 1: 7, 2: 6, 3: 5, 4: 7, 5: 7, 6: 15, 7: 9}
{0: 8, 1: 8, 2: 7, 3: 5, 4: 7, 5: 7, 6: 16, 7: 10}
{0: 9, 1: 8, 2: 7, 3: 5, 4: 8, 5: 7, 6: 17, 7: 11}
{0: 9, 1: 9, 2: 8, 3: 5, 4: 9, 5: 8, 6: 18, 7: 11}
{0: 10, 1: 9, 2: 8, 3: 5, 4: 10, 5: 8, 6: 19, 7: 12}
{0: 10, 1: 10, 2: 9, 3: 5, 4: 11, 5: 8, 6: 20, 7: 12}
{0: 11, 1: 10, 2: 10, 3: 5, 4: 12, 5: 8, 6: 21, 7: 13}
{0: 12, 1: 10, 2: 11, 3: 5, 4: 12, 5: 9, 6: 22, 7: 13}
{0: 13, 1: 10, 2: 12, 3: 5, 4: 13, 5: 9, 6: 23, 7: 14}
{0: 14, 1: 11, 2: 12, 3: 5, 4: 13, 5: 9, 6: 23, 7: 15}
{0: 15, 1: 11, 2: 13, 3: 6, 4: 14, 5: 9, 6: 24, 7: 15}
{0: 16, 1: 11, 2: 13, 3: 6, 4: 14, 5: 10, 6: 25, 7: 16}
{0: 16, 1: 12, 2: 14, 3: 7, 4: 14, 5: 11, 6: 26, 7: 16}
{0: 16, 1: 12, 2: 15, 3: 8, 4: 15, 5: 11, 6: 27, 7: 16}
{0: 16, 1: 13, 2: 16, 3: 8, 4: 15, 5: 11, 6: 27, 7: 17}

{0: 1, 1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1}
{0: 2, 1: 2, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1}
{0: 2, 1: 3, 2: 1, 3: 1, 4: 1, 5: 2, 6: 2, 7: 1}
{0: 2, 1: 4, 2: 1, 3: 1, 4: 1, 5: 2, 6: 3, 7: 1}
{0: 2, 1: 4, 2: 1, 3: 1, 4: 1, 5: 3, 6: 4, 7: 1}
{0: 2, 1: 4, 2: 1, 3: 2, 4: 1, 5: 3, 6: 5, 7: 2}
{0: 2, 1: 4, 2: 1, 3: 3, 4: 1, 5: 3, 6: 6, 7: 2}
{0: 2, 1: 5, 2: 1, 3: 3, 4: 1, 5: 4, 6: 7, 7: 3}
{0: 2, 1: 6, 2: 1, 3: 3, 4: 1, 5: 5, 6: 8, 7: 4}
{0: 2, 1: 7, 2: 2, 3: 3, 4: 1, 5: 5, 6: 9, 7: 5}
{0: 2, 1: 8, 2: 2, 3: 4, 4: 1, 5: 5, 6: 10, 7: 5}
{0: 3, 1: 8, 2: 3, 3: 5, 4: 1, 5: 6, 6: 11, 7: 5}
{0: 4, 1: 9, 2: 3, 3: 6, 4: 1, 5: 6, 6: 12, 7: 6}
{0: 4, 1: 9, 2: 3, 3: 7, 4: 2, 5: 6, 6: 13, 7: 7}
{0: 4, 1: 9, 2: 3, 3: 8, 4: 3, 5: 7, 6: 14, 7: 7}
{0: 5, 1: 9, 2: 4, 3: 8, 4: 4, 5: 7, 6: 15, 7: 8}
{0: 6, 1: 9, 2: 5, 3: 8, 4: 5, 5: 7, 6: 16, 7: 8}
{0: 6, 1: 10, 2: 5, 3: 9, 4: 5, 5: 8, 6: 16, 7: 9}
{0: 6, 1: 11, 2: 6, 3: 9, 4: 6, 5: 8, 6: 16, 7: 10}
{0: 7, 1: 12, 2: 7, 3: 10, 4: 6, 5: 8, 6: 16, 7: 11}
{0: 7, 1: 12, 2: 7, 3: 10, 4: 7, 5: 8, 6: 17, 7: 12}
{0: 7, 1: 12, 2: 7, 3: 11, 4: 8, 5: 9, 6: 17, 7: 13}
{0: 7, 1: 12, 2: 7, 3: 11, 4: 9, 5: 9, 6: 18, 7: 14}
{0: 8, 1: 12, 2: 8, 3: 11, 4: 9, 5: 10, 6: 19, 7: 15}
{0: 9, 1: 12, 2: 9, 3: 12, 4: 9, 5: 11, 6: 20, 7: 15}
{0: 10, 1: 12, 2: 10, 3: 12, 4: 9, 5: 11, 6: 21, 7: 16}
{0: 10, 1: 12, 2: 11, 3: 13, 4: 10, 5: 11, 6: 22, 7: 17}
{0: 11, 1: 13, 2: 11, 3: 13, 4: 10, 5: 12, 6: 23, 7: 18}
{0: 12, 1: 14, 2: 11, 3: 14, 4: 10, 5: 13, 6: 24, 7: 18}
{0: 12, 1: 14, 2: 12, 3: 14, 4: 10, 5: 14, 6: 25, 7: 19}

{0: 0, 1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0}
{0: 0, 1: 1, 2: 0, 3: 1, 4: 1, 5: 2, 6: 2, 7: 1}
{0: 0, 1: 2, 2: 0, 3: 2, 4: 2, 5: 2, 6: 3, 7: 1}
{0: 1, 1: 2, 2: 0, 3: 3, 4: 3, 5: 2, 6: 4, 7: 1}
{0: 2, 1: 3, 2: 0, 3: 3, 4: 3, 5: 3, 6: 5, 7: 2}
{0: 2, 1: 3, 2: 0, 3: 4, 4: 4, 5: 4, 6: 6, 7: 2}
{0: 3, 1: 3, 2: 0, 3: 5, 4: 4, 5: 5, 6: 7, 7: 2}
{0: 3, 1: 4, 2: 0, 3: 6, 4: 5, 5: 6, 6: 8, 7: 2}
{0: 4, 1: 4, 2: 0, 3: 7, 4: 5, 5: 6, 6: 9, 7: 2}
{0: 5, 1: 4, 2: 1, 3: 7, 4: 6, 5: 7, 6: 9, 7: 2}
{0: 5, 1: 5, 2: 2, 3: 7, 4: 7, 5: 7, 6: 10, 7: 2}
{0: 6, 1: 5, 2: 2, 3: 7, 4: 8, 5: 8, 6: 11, 7: 2}
{0: 7, 1: 6, 2: 2, 3: 7, 4: 9, 5: 8, 6: 11, 7: 2}
{0: 7, 1: 6, 2: 3, 3: 8, 4: 9, 5: 8, 6: 12, 7: 2}
{0: 8, 1: 6, 2: 4, 3: 9, 4: 9, 5: 8, 6: 12, 7: 2}
{0: 9, 1: 7, 2: 5, 3: 9, 4: 9, 5: 8, 6: 13, 7: 2}
{0: 10, 1: 7, 2: 5, 3: 9, 4: 10, 5: 8, 6: 14, 7: 2}
{0: 10, 1: 8, 2: 5, 3: 9, 4: 10, 5: 8, 6: 15, 7: 2}
{0: 10, 1: 9, 2: 5, 3: 9, 4: 10, 5: 8, 6: 15, 7: 3}
{0: 10, 1: 10, 2: 5, 3: 10, 4: 10, 5: 8, 6: 16, 7: 3}
{0: 10, 1: 10, 2: 5, 3: 10, 4: 11, 5: 8, 6: 16, 7: 4}
{0: 11, 1: 11, 2: 5, 3: 10, 4: 11, 5: 8, 6: 16, 7: 4}
{0: 11, 1: 11, 2: 6, 3: 10, 4: 11, 5: 8, 6: 17, 7: 5}
{0: 11, 1: 12, 2: 6, 3: 11, 4: 11, 5: 8, 6: 18, 7: 5}
{0: 11, 1: 13, 2: 6, 3: 11, 4: 12, 5: 8, 6: 18, 7: 6}
{0: 11, 1: 13, 2: 7, 3: 11, 4: 12, 5: 8, 6: 19, 7: 6}
{0: 11, 1: 14, 2: 7, 3: 11, 4: 12, 5: 8, 6: 20, 7: 6}
{0: 11, 1: 14, 2: 8, 3: 12, 4: 12, 5: 9, 6: 21, 7: 6}
{0: 11, 1: 14, 2: 9, 3: 13, 4: 13, 5: 10, 6: 21, 7: 6}
{0: 12, 1: 14, 2: 10, 3: 13, 4: 13, 5: 11, 6: 21, 7: 7}

{0: 0, 1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1}
{0: 1, 1: 0, 2: 2, 3: 0, 4: 0, 5: 2, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 0, 4: 0, 5: 3, 6: 2, 7: 2}
{0: 1, 1: 1, 2: 2, 3: 0, 4: 0, 5: 3, 6: 3, 7: 3}
{0: 1, 1: 1, 2: 2, 3: 0, 4: 0, 5: 4, 6: 4, 7: 4}
{0: 1, 1: 2, 2: 2, 3: 1, 4: 0, 5: 5, 6: 5, 7: 5}
{0: 1, 1: 3, 2: 2, 3: 1, 4: 0, 5: 6, 6: 6, 7: 6}
{0: 2, 1: 3, 2: 2, 3: 2, 4: 1, 5: 6, 6: 7, 7: 7}
{0: 2, 1: 3, 2: 3, 3: 3, 4: 1, 5: 6, 6: 8, 7: 7}
{0: 3, 1: 4, 2: 3, 3: 3, 4: 1, 5: 7, 6: 9, 7: 7}
{0: 4, 1: 5, 2: 3, 3: 3, 4: 1, 5: 7, 6: 10, 7: 8}
{0: 4, 1: 5, 2: 4, 3: 4, 4: 2, 5: 7, 6: 11, 7: 9}
{0: 4, 1: 5, 2: 4, 3: 5, 4: 2, 5: 8, 6: 12, 7: 9}
{0: 5, 1: 6, 2: 5, 3: 5, 4: 3, 5: 9, 6: 12, 7: 9}
{0: 5, 1: 7, 2: 5, 3: 6, 4: 3, 5: 9, 6: 13, 7: 9}
{0: 6, 1: 7, 2: 6, 3: 7, 4: 3, 5: 10, 6: 13, 7: 9}
{0: 6, 1: 8, 2: 6, 3: 7, 4: 4, 5: 11, 6: 14, 7: 10}
{0: 7, 1: 9, 2: 7, 3: 7, 4: 4, 5: 12, 6: 14, 7: 10}
{0: 8, 1: 9, 2: 7, 3: 8, 4: 4, 5: 12, 6: 15, 7: 11}
{0: 8, 1: 10, 2: 7, 3: 9, 4: 4, 5: 12, 6: 16, 7: 12}
{0: 9, 1: 11, 2: 7, 3: 9, 4: 4, 5: 13, 6: 17, 7: 12}
{0: 10, 1: 11, 2: 7, 3: 10, 4: 5, 5: 13, 6: 17, 7: 13}
{0: 11, 1: 11, 2: 7, 3: 10, 4: 5, 5: 14, 6: 17, 7: 14}
{0: 12, 1: 11, 2: 7, 3: 10, 4: 6, 5: 15, 6: 18, 7: 14}
{0: 12, 1: 11, 2: 8, 3: 11, 4: 6, 5: 15, 6: 19, 7: 15}
{0: 12, 1: 12, 2: 8, 3: 11, 4: 6, 5: 15, 6: 20, 7: 16}
{0: 13, 1: 13, 2: 9, 3: 11, 4: 7, 5: 16, 6: 20, 7: 16}
{0: 13, 1: 13, 2: 9, 3: 12, 4: 7, 5: 17, 6: 21, 7: 16}
{0: 14, 1: 13, 2: 9, 3: 13, 4: 8, 5: 17, 6: 22, 7: 16}
{0: 14, 1: 13, 2: 10, 3: 13, 4: 8, 5: 18, 6: 23, 7: 17}

{0: 0, 1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 0, 1: 2, 2: 1, 3: 0, 4: 0, 5: 1, 6: 2, 7: 2}
{0: 0, 1: 3, 2: 2, 3: 1, 4: 0, 5: 2, 6: 2, 7: 2}
{0: 1, 1: 3, 2: 2, 3: 1, 4: 1, 5: 3, 6: 3, 7: 3}
{0: 2, 1: 4, 2: 2, 3: 1, 4: 2, 5: 3, 6: 4, 7: 3}
{0: 3, 1: 4, 2: 2, 3: 2, 4: 3, 5: 4, 6: 4, 7: 4}
{0: 3, 1: 5, 2: 2, 3: 3, 4: 3, 5: 5, 6: 4, 7: 5}
{0: 4, 1: 5, 2: 3, 3: 4, 4: 3, 5: 6, 6: 5, 7: 5}
{0: 4, 1: 5, 2: 4, 3: 5, 4: 3, 5: 6, 6: 6, 7: 5}
{0: 5, 1: 5, 2: 5, 3: 6, 4: 4, 5: 6, 6: 7, 7: 5}
{0: 5, 1: 5, 2: 6, 3: 7, 4: 5, 5: 7, 6: 8, 7: 5}
{0: 6, 1: 6, 2: 6, 3: 8, 4: 5, 5: 8, 6: 9, 7: 5}
{0: 7, 1: 6, 2: 6, 3: 9, 4: 5, 5: 8, 6: 10, 7: 6}
{0: 7, 1: 7, 2: 6, 3: 9, 4: 5, 5: 8, 6: 11, 7: 7}
{0: 8, 1: 7, 2: 6, 3: 10, 4: 6, 5: 9, 6: 12, 7: 7}
{0: 8, 1: 8, 2: 6, 3: 11, 4: 7, 5: 9, 6: 13, 7: 8}
{0: 8, 1: 9, 2: 6, 3: 11, 4: 8, 5: 10, 6: 13, 7: 9}
{0: 9, 1: 9, 2: 6, 3: 11, 4: 8, 5: 11, 6: 14, 7: 10}
{0: 10, 1: 9, 2: 7, 3: 11, 4: 9, 5: 12, 6: 15, 7: 10}
