{0: 3, 1: 1, 2: 1, 3: 3, 4: 3, 5: 1, 6: 1, 7: 4}
{0: 4, 1: 2, 2: 1, 3: 4, 4: 4, 5: 1, 6: 1, 7: 5}
{0: 5, 1: 2, 2: 1, 3: 4, 4: 5, 5: 1, 6: 1, 7: 6}
{0: 6, 1: 3, 2: 2, 3: 4, 4: 5, 5: 1, 6: 2, 7: 7}
{0: 7, 1: 4, 2: 3, 3: 4, 4: 5, 5: 2, 6: 2, 7: 8}
{0: 8, 1: 4, 2: 4, 3: 4, 4: 5, 5: 3, 6: 2, 7: 9}
{0: 8, 1: 5, 2: 4, 3: 5, 4: 5, 5: 4, 6: 2, 7: 10}
{0: 8, 1: 5, 2: 5, 3: 6, 4: 5, 5: 5, 6: 3, 7: 11}
{0: 9, 1: 5, 2: 5, 3: 6, 4: 5, 5: 6, 6: 4, 7: 12}
{0: 10, 1: 6, 2: 5, 3: 7, 4: 6, 5: 6, 6: 4, 7: 13}
{0: 11, 1: 6, 2: 6, 3: 7, 4: 7, 5: 6, 6: 5, 7: 14}
{0: 12, 1: 6, 2: 7, 3: 7, 4: 7, 5: 6, 6: 5, 7: 15}
{0: 13, 1: 7, 2: 7, 3: 7, 4: 7, 5: 6, 6: 6, 7: 16}
{0: 13, 1: 8, 2: 8, 3: 8, 4: 7, 5: 6, 6: 7, 7: 17}
{0: 14, 1: 9, 2: 8, 3: 9, 4: 7, 5: 7, 6: 7, 7: 18}
{0: 14, 1: 10, 2: 8, 3: 10, 4: 8, 5: 7, 6: 8, 7: 19}
{0: 15, 1: 11, 2: 9, 3: 10, 4: 8, 5: 8, 6: 8, 7: 20}
{0: 16, 1: 11, 2: 10, 3: 11, 4: 9, 5: 8, 6: 9, 7: 20}
{0: 16, 1: 12, 2: 10, 3: 11, 4: 10, 5: 9, 6: 10, 7: 21}
{0: 16, 1: 12, 2: 10, 3: 12, 4: 11, 5: 10, 6: 10, 7: 22}
{0: 16, 1: 13, 2: 11, 3: 12, 4: 12, 5: 10, 6: 11, 7: 23}
{0: 16, 1: 14, 2: 11, 3: 13, 4: 12, 5: 11, 6: 12, 7: 24}
{0: 16, 1: 15, 2: 12, 3: 13, 4: 13, 5: 12, 6: 12, 7: 25}
{0: 17, 1: 16, 2: 12, 3: 14, 4: 13, 5: 13, 6: 12, 7: 26}
{0: 18, 1: 16, 2: 13, 3: 14, 4: 14, 5: 13, 6: 13, 7: 27}
{0: 19, 1: 16, 2: 13, 3: 15, 4: 15, 5: 13, 6: 14, 7: 28}
{0: 20, 1: 16, 2: 14, 3: 15, 4: 16, 5: 14, 6: 14, 7: 29}

{0: 0, 1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 1, 1: 0, 2: 0, 3: 1, 4: 2, 5: 2, 6: 1, 7: 2}
{0: 1, 1: 1, 2: 1, 3: 1, 4: 2, 5: 3, 6: 1, 7: 3}
{0: 1, 1: 1, 2: 2, 3: 2, 4: 2, 5: 3, 6: 1, 7: 4}
{0: 1, 1: 1, 2: 2, 3: 2, 4: 3, 5: 3, 6: 1, 7: 5}
{0: 2, 1: 2, 2: 2, 3: 3, 4: 3, 5: 3, 6: 2, 7: 6}
{0: 3, 1: 3, 2: 2, 3: 3, 4: 4, 5: 3, 6: 2, 7: 7}
{0: 4, 1: 4, 2: 2, 3: 3, 4: 4, 5: 4, 6: 3, 7: 8}
{0: 4, 1: 5, 2: 2, 3: 4, 4: 5, 5: 4, 6: 4, 7: 9}
