{0: 6, 1: 10, 2: 8, 3: 9, 4: 8, 5: 9, 6: 10, 7: 11}
{0: 6, 1: 11, 2: 8, 3: 10, 4: 9, 5: 10, 6: 11, 7: 11}
{0: 6, 1: 11, 2: 9, 3: 11, 4: 10, 5: 11, 6: 12, 7: 11}
{0: 6, 1: 12, 2: 10, 3: 11, 4: 10, 5: 12, 6: 13, 7: 11}
{0: 6, 1: 12, 2: 10, 3: 12, 4: 11, 5: 13, 6: 14, 7: 11}
{0: 6, 1: 12, 2: 11, 3: 13, 4: 12, 5: 14, 6: 14, 7: 12}
{0: 7, 1: 13, 2: 11, 3: 14, 4: 12, 5: 14, 6: 15, 7: 13}
{0: 7, 1: 14, 2: 11, 3: 15, 4: 13, 5: 14, 6: 16, 7: 14}
{0: 7, 1: 15, 2: 11, 3: 16, 4: 14, 5: 15, 6: 17, 7: 14}
{0: 7, 1: 16, 2: 12, 3: 17, 4: 14, 5: 15, 6: 18, 7: 15}
{0: 7, 1: 16, 2: 13, 3: 18, 4: 14, 5: 16, 6: 19, 7: 16}
{0: 7, 1: 17, 2: 13, 3: 19, 4: 15, 5: 17, 6: 20, 7: 16}
{0: 7, 1: 18, 2: 13, 3: 19, 4: 16, 5: 18, 6: 21, 7: 17}
{0: 7, 1: 19, 2: 14, 3: 20, 4: 16, 5: 19, 6: 21, 7: 18}
{0: 7, 1: 20, 2: 14, 3: 21, 4: 17, 5: 19, 6: 22, 7: 19}
{0: 8, 1: 21, 2: 15, 3: 22, 4: 17, 5: 19, 6: 23, 7: 19}

{0: 0, 1: 1, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 0, 1: 2, 2: 2, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2}
{0: 1, 1: 3, 2: 2, 3: 1, 4: 2, 5: 2, 6: 1, 7: 3}
{0: 1, 1: 4, 2: 3, 3: 2, 4: 3, 5: 2, 6: 1, 7: 4}
{0: 1, 1: 5, 2: 4, 3: 3, 4: 3, 5: 2, 6: 1, 7: 5}
{0: 1, 1: 6, 2: 5, 3: 4, 4: 4, 5: 2, 6: 1, 7: 6}
{0: 1, 1: 7, 2: 6, 3: 5, 4: 5, 5: 3, 6: 1, 7: 6}
{0: 2, 1: 7, 2: 7, 3: 5, 4: 6, 5: 3, 6: 1, 7: 7}
{0: 2, 1: 8, 2: 8, 3: 6, 4: 6, 5: 4, 6: 2, 7: 7}
{0: 2, 1: 9, 2: 8, 3: 7, 4: 7, 5: 4, 6: 3, 7: 8}
{0: 2, 1: 10, 2: 8, 3: 8, 4: 8, 5: 5, 6: 3, 7: 9}
{0: 2, 1: 11, 2: 8, 3: 9, 4: 9, 5: 6, 6: 3, 7: 10}
